Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,3,Texas,79.0,173.0,1.31,59.4,72.8,46.2
2021,3,Utah,0.0,870.0,1.19,38.4,50.6,26.2
2021,3,Vermont,0.0,1042.0,1.53,30.9,43.4,18.5
2021,3,Virginia,4.0,509.0,3.47,48.5,61.0,36.0
2021,3,Washington,0.0,704.0,2.44,39.7,50.0,29.5
2021,3,West Virginia,5.0,584.0,4.07,45.8,59.8,31.8
2021,3,Wisconsin,0.0,825.0,1.87,36.9,47.9,26.0
2021,3,Wyoming,0.0,998.0,1.3,32.2,44.7,19.6
2021,4,Alabama,30.0,153.0,5.55,61.6,74.6,48.7
2021,4,Alaska,,,1.94,23.9,33.8,14.0
2021,4,Arizona,165.0,66.0,0.19,61.2,76.8,45.5
2021,4,Arkansas,13.0,231.0,5.54,58.4,70.0,46.8
2021,4,California,20.0,230.0,0.29,58.2,72.5,44.0
2021,4,Colorado,0.0,689.0,1.01,43.1,57.7,28.5
2021,4,Connecticut,0.0,477.0,3.03,48.7,60.0,37.4
2021,4,Delaware,0.0,306.0,2.29,55.3,67.1,43.5
2021,4,Florida,219.0,12.0,4.55,69.9,81.2,58.5
2021,4,Georgia,22.0,170.0,3.63,62.1,75.6,48.5
2021,4,Hawaii,,,4.07,63.9,71.3,56.5
2021,4,Idaho,0.0,565.0,0.86,42.0,55.3,28.6
2021,4,Illinois,1.0,414.0,3.04,52.5,63.7,41.4
2021,4,Indiana,0.0,404.0,2.94,51.9,63.7,40.1
2021,4,Iowa,0.0,460.0,1.51,49.3,60.8,37.9
2021,4,Kansas,7.0,351.0,1.51,52.5,65.8,39.2
2021,4,Kentucky,4.0,323.0,3.08,54.6,67.0,42.1
2021,4,Louisiana,80.0,65.0,8.57,64.7,75.1,54.4
2021,4,Maine,0.0,592.0,3.24,43.2,54.3,32.0
2021,4,Maryland,3.0,297.0,2.75,55.0,66.5,43.4
2021,4,Massachusetts,0.0,506.0,4.34,47.8,58.7,36.8
2021,4,Michigan,0.0,503.0,2.08,45.1,55.8,34.4
2021,4,Minnesota,0.0,652.0,2.49,42.3,53.1,31.4
2021,4,Mississippi,40.0,130.0,6.96,61.8,74.2,49.4
2021,4,Missouri,7.0,339.0,4.36,54.2,65.6,42.9
2021,4,Montana,0.0,766.0,1.0,40.5,53.4,27.5
2021,4,Nebraska,0.0,460.0,1.39,46.9,60.8,33.1
2021,4,Nevada,88.0,202.0,0.43,49.3,64.5,34.1
2021,4,New Hampshire,0.0,597.0,3.94,44.0,55.6,32.4
2021,4,New Jersey,0.0,384.0,2.35,52.6,64.3,40.8
2021,4,New Mexico,9.0,316.0,0.37,53.2,69.2,37.3
2021,4,New York,0.0,480.0,3.46,45.7,56.9,34.6
2021,4,North Carolina,13.0,195.0,1.95,58.6,71.8,45.2
2021,4,North Dakota,0.0,729.0,0.66,40.7,54.4,26.9
2021,4,Ohio,0.0,413.0,2.88,51.4,63.1,39.7
2021,4,Oklahoma,17.0,228.0,3.44,57.4,69.8,45.0
2021,4,Oregon,0.0,446.0,0.66,46.6,60.5,32.6
2021,4,Pennsylvania,0.0,420.0,2.79,49.3,61.0,37.7
2021,4,Rhode Island,0.0,486.0,3.49,48.8,59.0,38.5
2021,4,South Carolina,28.0,126.0,1.67,62.0,75.7,48.2
